Affiliation with Xavier University?,"If a student, what year?",Major(s) (for undergrad),Minor(s),Housing,Which category below includes your age?,What is your ethnicity?,What is your immigration status,What is the highest degree or level of school you have completed?,What is your marital status?,Are you a veteran?,What is your religion?,What is your sex that you are assigned at birth?,What is your gender identity?,Do you consider yourself to be:,"Do you have mental, physical or any other kind of disability?"
Faculty/Staff Member,,,,,21-29,White,Non-immigrant,"Master's degree (e.g. MA, MS, MEd)",Single,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Lesbian,No
Faculty/Staff Member,,,,,21-29,White,Non-immigrant,"Bachelor's degree (e.g. BA, BS)",Single,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Heterosexual,No
Faculty/Staff Member,,"Political Science, International Studies","Jewish Studies, Peace Studies",Commute from home,21-29,White,Non-immigrant,"Master's degree (e.g. MA, MS, MEd)",Divorced,No,Agnostic,Female,Woman,Heterosexual,Yes
Faculty/Staff Member,,,,,21-29,White,Non-immigrant,"Bachelor's degree (e.g. BA, BS)",Single,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Male,Man,Heterosexual,No
Faculty/Staff Member,,,,,21-29,White,Non-immigrant,"Master's degree (e.g. MA, MS, MEd)",Married,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Bisexual,No
Faculty/Staff Member,,,,,21-29,White,Non-immigrant,"Master's degree (e.g. MA, MS, MEd)",Single,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Heterosexual,No
Faculty/Staff Member,,,,,30-39,White,Non-immigrant,"Master's degree (e.g. MA, MS, MEd)",Divorced,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Heterosexual,No
Faculty/Staff Member,,,,,30-39,White,Non-immigrant,"Bachelor's degree (e.g. BA, BS)",Married,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Heterosexual,No
Faculty/Staff Member,,,,,30-39,White,Non-immigrant,"Doctorate (e.g. PhD, EdD)",Married,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Male,Man,Heterosexual,No
Faculty/Staff Member,,,,,30-39,White,Non-immigrant,"Doctorate (e.g. PhD, EdD)",Married,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Male,Man,Heterosexual,No
Faculty/Staff Member,,,,,30-39,Black or African-American,Non-immigrant,"Bachelor's degree (e.g. BA, BS)",Single,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Heterosexual,No
Faculty/Staff Member,,,,,30-39,White,Non-immigrant,"Master's degree (e.g. MA, MS, MEd)",Single,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Heterosexual,No
Faculty/Staff Member,,,,,30-39,White,Non-immigrant,"Master's degree (e.g. MA, MS, MEd)",Married,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Heterosexual,No
Faculty/Staff Member,,Theology,"Spanish, Peace Studies",On-campus,30-39,White,US citizen,"Master's degree (e.g. MA, MS, MEd)",Married,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Heterosexual,No
Faculty/Staff Member,,,,,40-49,White,Non-immigrant,"Master's degree (e.g. MA, MS, MEd)",In a domestic partnership,No,Unitarian Universalist,Female,Woman,Homosexual,No
Faculty/Staff Member,,,,,40-49,White,Non-immigrant,"Doctorate (e.g. PhD, EdD)",Married,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Bisexual,No
Faculty/Staff Member,,,,,40-49,White,Non-immigrant,"Master's degree (e.g. MA, MS, MEd)",Divorced,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Heterosexual,No
Faculty/Staff Member,,,,,40-49,White,Non-immigrant,"Master's degree (e.g. MA, MS, MEd)",Married,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Heterosexual,No
Faculty/Staff Member,,,,,40-49,White,Non-immigrant,"Bachelor's degree (e.g. BA, BS)",Married,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Heterosexual,No
Faculty/Staff Member,,,,,40-49,White,Immigrant,"Master's degree (e.g. MA, MS, MEd)",Married,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Heterosexual,No
Faculty/Staff Member,,,,,40-49,Asian or Asian American,Immigrant,"Doctorate (e.g. PhD, EdD)",Married,No,,Female,Woman,Heterosexual,No
Faculty/Staff Member,,,,,50-59,White,Non-immigrant,"Master's degree (e.g. MA, MS, MEd)",Married,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Heterosexual,No
Faculty/Staff Member,,,,,50-59,White,Non-immigrant,"Doctorate (e.g. PhD, EdD)",Married,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Male,Man,Heterosexual,No
Faculty/Staff Member,,,,,50-59,White,Non-immigrant,"Master's degree (e.g. MA, MS, MEd)",Married,No,Jewish,Female,Woman,Heterosexual,No
Faculty/Staff Member,,,,,60 or older,White,Non-immigrant,"Doctorate (e.g. PhD, EdD)",Married,No,None,Female,Woman,Heterosexual,No
Faculty/Staff Member,,,,,60 or older,White,Non-immigrant,Associate degree,Married,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Heterosexual,No
Faculty/Staff Member,,,,,60 or older,White,First generation,"Doctorate (e.g. PhD, EdD)",Married,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Male,Man,Heterosexual,No
"Staff Member (primary), and MBA student",Graduate,,,Off-campus,30-39,White,Non-immigrant,"Bachelor's degree (e.g. BA, BS)",In a domestic partnership,No,None,Female,Woman,Heterosexual,Yes
Students,Freshman,Environmental Science,,On-campus,17 or younger,From multiple races,Non-immigrant,High school degree or equivalent,Single,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Male,Man,Heterosexual,No
Students,Freshman,Biomedical Sciences,,On-campus,18-20,Asian or Asian American,Prefer not to answer,High school degree or equivalent,Single,No,Muslim,Female,Woman,Heterosexual,No
Students,Freshman,Sports Marketing ,,On-campus,18-20,From multiple races,International Student ,High school degree or equivalent,Single,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Male,Man,Heterosexual,No
Students,Freshman,"PPP, Economics",,On-campus,18-20,White,Non-immigrant,High school degree or equivalent,Single,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Male,Man,Heterosexual,No
Students,Freshman,Nursing,Political Science ,On-campus,18-20,White,Non-immigrant,Less than a high school diploma,Single,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Heterosexual,Yes
Students,Freshman,History,Professional education,On-campus,18-20,White,Non-immigrant,High school degree or equivalent,Single,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Heterosexual,No
Students,Graduate,,,Off-campus,21-29,White,Non-immigrant,"Bachelor's degree (e.g. BA, BS)",Single,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Male,Man,Bisexual,No
Students,Graduate,Finance,,Off-campus,21-29,Black or African-American,Non-immigrant,"Bachelor's degree (e.g. BA, BS)",Single,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Heterosexual,No
Students,Junior,Biolgy,Deaf Studies,Commute from home,18-20,White,Non-immigrant,High school degree or equivalent,Single,No,"Christian (including Catholic, Protestant, and all other Christian denominations)",Female,Woman,Bisexual,Yes
